name,release_date,developer,publisher,platforms,required_age,categories,genres
Dark Deception,2018-09-26,Glowstick Entertainment,Glowstick Entertainment,windows,0,Single-player;Steam Achievements;Captions available,Action;Adventure;Indie;RPG
Demesne,2016-03-11,Demesnegame;Composer-Motorin Dmitry (Djinotan),Demesnegame,windows,0,Single-player;Steam Achievements;Partial Controller Support,Adventure;Indie;Simulation;Early Access
Do Not Fall,2014-12-18,XPEC Entertainment Inc.,XPEC Entertainment Inc.,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Adventure;Indie
Kaiju-A-GoGo,2015-04-23,Kerberos Productions Inc.,Kerberos Productions Inc.,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie;Strategy
Forward to the Sky,2015-01-29,Animu Game,Animu Game,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Indie;RPG
Marvin's Mittens,2014-12-17,Breakfall,Breakfall,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie
Mos Speedrun 2,2015-09-03,Physmo,Physmo,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie
ADOM (Ancient Domains Of Mystery),2015-11-16,Thomas Biskup;Jochen Terstiege;Zeno Rogue;Krzysztof Dycha;Lucas Dieguez,Thomas Biskup,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;RPG;Strategy
Song of the Myrne: What Lies Beneath,2015-01-13,Beldarak Games,Beldarak Games,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards,Action;Indie;RPG
Star Rangers™ XE,2016-07-06,Project Whitecard Studios Inc.;NASA (Some Models),Awestruck Games,windows;mac;linux,0,Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop,Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Early Access
Cults and Daggers,2015-02-12,Chaphat,Chaphat,windows;mac,0,Single-player;Multi-player,Strategy
SilverQuest: Gaiden,2014-12-29,Wolfgame,Wolfgame,windows,0,Single-player;Steam Achievements;Full controller support;Steam Workshop,Indie;RPG;Early Access
Tales of Aravorn: Seasons Of The Wolf,2015-01-15,Winter Wolves,Winter Wolves,windows;mac;linux,16,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG
